Sr No.,title,type,location,people,description
10,Dimensional Energy,Materials & Manufacturing,"NY, USA",1-10,"Dimensional Energy is a chemistry company pioneering artificial photosynthesis to produce environmentally responsible polymers and chemical intermediaries.

Dimensional Energy is making solar fuels viable through efficient utilization and even distribution of sunlight in scalable reactor forms with novel, functionalized catalysts."
11,Diamond Foundry,,"San Francisco, CA, USA",251-500,"Diamond Foundry was founded with the goal of reinventing the $100B diamond industry from “mine to finger” by setting a new standard for social and environmental good.

The founding team of M.I.T., Stanford, and Princeton engineers previously developed pioneering breakthroughs in solar power technology – and had a hunch that techniques used to harness the energy of the sun could also be used to make a better diamond, atom by atom."
12,Devlabs,Capital,"Oakland, CA, USA",1-10,"We target the global pipeline of outlier entrepreneurs building B2B digital companies that are currently undervalued and looking to grow by partnering with founder friendly investors that can help them reach more customers, build a better product and raise capital in a relatively short period of time.

We are currently investing from Chile, for Latam, from Jamaica, for the Carribean, from Honduras for Central America, and from Oakland for the United States."
13,Descartes Labs,,"Santa Fe, NM, USA",101-250,"Descartes Labs launched as a spin-out from Los Alamos National Laboratory in December of 2014. The underlying technology uses computer vision, machine learning, and cloud-based infrastructure to teach computers to see and understand the world around them. Initially, the technology was applied to develop an agricultural model to analyze corn and soy production in the United States. Using imagery from various satellite constellations, weather data, and other datasets, the model accurately predicted yield six months prior to the end of the growing season.

Realizing the potential for the technology applied to use cases around the globe, Descartes Labs turned its focus to developing a cloud-based supercomputing platform for the application of machine intelligence to massive data sets. This platform could be used by anyone to develop intelligent learning models to do science on data, and make that data actionable.

Capitalizing on the confluence of advances in AI and high-performance cloud computing – along with the rapid increase of sensors capturing information all over the globe – Descartes Labs has created an enterprise data refinery that enables organizations to model – and predict changes in – natural resources and the entire value chains in which they live. With an initial focus on satellite imagery, Descartes Labs processes a pipeline of data flows from all the major satellite constellations, at scale, to provide instant access to analysis-ready images of the entire world via a massive, searchable, on-demand interface. For example, petabytes of imagery can be searched and retrieved, and all features from various constellations accessed, in under 100 milliseconds.

By collecting, normalizing, and presenting science-ready data generated by satellites, the Descartes Labs Platform is advancing and accelerating unique applications of machine intelligence for consumers, corporations, and governments worldwide. Descartes Labs is headquartered in Santa Fe, New Mexico, with offices in San Francisco, Los Alamos, and New York City."
14,Denbury,Energy,"TX, USA",1001-5000,"Denbury Resources Inc., is an independent oil and natural gas company with 437.7 MMBOE of estimated proved oil and natural gas reserves as of December 31, 2014, of which 83% is oil. Their operations are focused in two key operating areas: the Gulf Coast and Rocky Mountain regions. Their goal is to increase the value of their properties through a combination of exploitation, drilling and proven engineering extraction practices, with the most significant emphasis relating to carbon dioxide enhanced oil recovery (CO2 EOR) operations."
15,Demand Q,Energy,"Watertown, MA, USA",11-50,"Reduce Energy Spend Through Intelligent Demand Optimization
Our intelligent software integrates seamlessly with your energy management initiatives, dynamically optimizing equipment utilization to minimize peak demand charges, without human intervention or disruption of operations."
16,Delta Group,Materials & Manufacturing,"Dallas, TX, USA",251-500,"Delta Group Electronics, Inc., established in 1987, is a high-mix medium volume to low-mix medium quantity run electronics manufacturing services (EMS) provider recognized by Inc. Magazine as one of the fastest growing small businesses in the United States. The company provides cost-efficient, high-quality assembly of custom wiring harness, cable and turnkey electronic assemblies for its business partners throughout the southern half of the United States. Based in Albuquerque, New Mexico, Delta Group also has assembly operations in Florida, Arkansas, Texas and southern California.

The company maintains an ISO9001/AS9100 quality certification at each facility; along with ISO13485 quality standard at the San Diego, California location and NADCAP registration at the Albuquerque, New Mexico location. The company also maintains an annual ITAR registration and compliance program to include Distribution D capability through an approved DD2345.

Delta Group maintains a diversified customer base, serving customers in the defense, aerospace, telecommunications and capital equipment industries."
17,Deliver Zero,Materials & Manufacturing,"Brooklyn, NY, USA",1-10,"DeliverZero is an environmentally responsible way to order delivery or takeout online. When you order from a restaurant through DeliverZero, the restaurant provides the food in reusable takeout containers. The containers can be used over 1,000 times. That eliminates the emissions and waste from over 1,000 manufacturing processes."
18,Deepwater Wind,Energy,"RI, USA",11-50,"Deepwater Wind American developer of offshore wind. The Company develops, constructs, operates, and manages renewable wind power projects. Deepwater Wind operates throughout the United States."
19,DeepGreen,"Food, Agriculture, & Land Use","Boulder, CO, USA",1-10,"DeepGreen’s purpose is to source the metals we need for a sustainable future — with less environmental and social impact.

We are scientists, environmentalists, engineers and entrepreneurs who see climate change and meeting the resource needs of nine billion people as the biggest challenges of our time.

Electric vehicles and renewable energy are part of the solution, but we know that scaling these globally will require hundreds of millions of tons of new metals. We believe that producing these urgently needed battery metals from polymetallic nodules from the deep ocean is society’s best option"
20,DCVC,Capital,"San Francisco, CA, USA",1-10,"DCVC (Data Collective) and its principals have backed brilliant people changing global-scale industries for over twenty years, helping create tens of billions of dollars of wealth for these entrepreneurs while also making the world a markedly better place.

DCVC brings to bear a unique model that unites a team of experienced venture capitalists with more than 35 technology executives and experts (CTOs, CIOs, Chief Scientists, Principal Engineers, Professors at Stanford and Berkeley) with significant tenures at top 100 technology companies and research institutions worldwide. DCVC focuses on seed, Series A, and growth stage companies that apply deep compute, big data and IT infrastructure technologies to transform giant industries."
21,DBL Partners,Capital,"San Francisco, CA, USA",1-10,"DBL Partners is an investment venture focused on companies that deliver high venture capital returns and economic benefits. DBL Partners uses venture capital to accelerate innovation in a way that positively affects an organization’s social impact, as well as its financial success. They believe these two drivers –positive social change and a healthy financial performance– are inherently connected.

DBL invests in and helps nurture outstanding entrepreneurs and companies in Cleantech, Information Technology, Sustainable Products and Services, and Healthcare."
22,DayRiver Capital,Capital,"CT, USA",1-10,"DayRiver was a dynamic investment company with registered offices in the United States and United Kingdom that primarily invested capital into U.S. companies and public-private platforms.  

The business invested in companies that were scalable and either profitable or would have become profitable in the near term."
23,David Suzuki Foundation,Advocacy or Policy,"Vancouver, Canada",51-100,"We are interconnected with nature, and with each other. What we do to the planet and its living creatures, we do to ourselves.
This is the fundamental truth guiding our work at the David Suzuki Foundation.

Founded in 1990, the David Suzuki Foundation is a national, bilingual non-profit organization headquartered in Vancouver, with offices in Toronto and Montreal.

Through evidence-based research, education and policy analysis, we work to conserve and protect the natural environment, and help create a sustainable Canada. We regularly collaborate with non-profit and community organizations, all levels of government, businesses and individuals."
24,Datawatt,Energy,"NC, USA",1-10,Datawatt Energy. A digital financing platform democratizing renewable energy investment for everyday people. Powered by people for the World.
25,dAlchemy,,"Mountain View, CA, USA",11-50,"dAlchemy, ML/AI solutions company since 2015, are innovators in Contextual Energy and IoT Analytics solutions using sensors powered by AI Technology.  Backed by multiple granted patents, dAlchemy offers Intelligent Solutions To Monitor And Predict Device/Machine Health using Energy Characteristics of the Device/Machine. 

The company's founders have direct experience in architecting, building and sustaining some of the largest databases and data marts on the Internet, as well as creating enterprise application systems used by Fortune 100 and fortune 500 companies."
26,Daintree Networks,,"Mountain View, CA, USA",101-250,"Daintree Networks is a clean technology company that provides wireless control solutions for commercial buildings. Based in Mountain View, California, Daintree also has an R&D facility in Melbourne, Australia.

The company was founded in 2003. Daintree's initial focus was on design verification and operational support tools for wireless embedded networking. Their flagship product, the Sensor Network Analyzer, became the industry standard tool for wireless embedded developers, and Daintree became recognized for its expertise in wireless sensor and control mesh networking.

Daintree's tools and platforms have been used to develop and deliver many wireless Smart Energy and Smart Home (HAN) products and services. The company also formed partnerships and close working relationships with many leaders in the Smart Energy and wireless embedded marketplace.

As the wireless embedded market matured, so too did Daintree's product offerings. Their focus moved away from tools and platforms, and turned towards the development of wireless building control solutions.

The company added lighting, telecommunications, and networking professionals to its team of wireless embedded experts, and has recently announced its ""Wireless Lighting Control System (WLCS)""."
27,Cyrq Energy,Energy,"Boston, MA, USA",51-100,"Headquartered in Salt Lake City, Utah, Cyrq Energy is a leader in renewable energy technology with geothermal, solar and storage facilities generating energy and under development in California, New Mexico, Utah, Oregon, Nevada, as well as Africa.

The company develops, builds, owns and operates geothermal and PV solar energy-based power plants, and has commenced activity in the storage market with projects under development. Cyrq’s corporate culture is fully committed to investment in sound operations and the in-depth knowledge gained from these operations results in one of the strongest plant performance records in the industry. Cyrq has over a decade of experience in the development of clean, efficient renewable energy facilities with the goal of becoming a leading global developer and provider of renewable energy.

Cyrq Energy has the proven expertise to fully develop, operate and manage high availability power plants for the long-term. Cyrq Energy has extensive experience with underperforming geothermal sites. We have the people and the technology to turn challenging projects around and achieve the most efficient energy output from existing geothermal resources. Cyrq Energy has established a reputation in the industry for getting the most out of geothermal resources."
28,Cypress Envirosystems,Materials & Manufacturing,"San Jose, CA, USA",51-100,"Our goal is to help older plants and buildings save energy and improve productivity. We specialize in technologies which can be installed with minimum disruption and expense. Our products, such as the Wireless Pneumatic Thermostat, Wireless Gauge Reader or Wireless Steam Trap Monitor, require minutes to install, cost a fraction of traditional solutions, and typically pay back within 18 months.

THE CHALLENGE

Managers at older facilities must often tolerate dated legacy technologies such as pneumatic thermostats, mechanical steam traps, and manual gauges. Compared to new state-of-the art plants or buildings, these sites typically consume more energy, require more maintenance labor, incur higher unplanned downtime, and deliver lower yield or productivity. In today’s competitive business environment, these factors put older facilities at a serious disadvantage.

Although many plant and building operators would like to upgrade their facilities with the latest automation technology, the cost of running new wires, disrupting existing occupants or production, and triggering potential safety code upgrades makes it unfeasible. As an operator of existing manufacturing plants and buildings in over a dozen sites worldwide, Cypress understands these challenges first hand."
29,Cycle Capital,Capital,"Montreal, Quebec, Canada",11-50,"Cycle Capital is a pioneer in Canadian Cleantech venture capital fund management investing in companies at the development and commercialization stages in North America. Founded in 2009 by Andrée-Lise Méthot, Founder and Managing Partner, Cycle Capital’s Platform has become an important venture capital investor of the Cleantech industry with its 3 funds totaling $230M Assets Under Management (AUM). Cycle Capital is looking to invests in promising ventures that are not capital intensive and/or that can benefit from the leverage brought by Cycle Capital extensive network of investors, strategic partners and advisors.

In addition to its core investments, Cycle Capital targets companies with high growth potential – especially those with strong intellectual property, leading edge technologies and with exceptional management talent that would benefit from the firm’s network of strategic industrial partners and expert advisors. With its core investment and business expertise, Cycle Capital plays an active role adding meaningful and tangible value to its portfolio companies at all stages of their life."
30,Curb,Transportation,"NY, USA",51-100,"Curb is an online and mobile software application that has revolutionized the taxi industry and seeks to change the way people get around. Curb connects you to safe, reliable rides from professional taxi and for-hire drivers nationwide. By bringing technology to the taxi and sedan experience, Curb is offering riders choice, reliability and convenience whenever they ride.

Curb’s story is told in three parts. Curb began in 2007 as RideCharge, an online service for business travelers to manage the booking and expensing of taxi rides and other local ground transportation. It soon developed a broader consumer focus, hastened by the adoption of smartphone technology.

In our second iteration, Curb was Taxi Magic, the first mobile app for ordering a ride, on-demand. After Apple introduced the App Store as a distribution platform for consumer apps, we built Taxi Magic upon our existing technology and released it in January 2009. Over the next five years, we built a nationwide network of riders, drivers, and taxi companies. In that time, our technology powered millions of rides and highlighted the challenges facing everyday travelers.

In August 2014, Taxi Magic became Curb to deliver an improved ride experience and consumer choice to ground travelers everywhere. All rides begin and end at the curb, and our technology improves the entire experience from curb to curb by eradicating underlying pain points and making ground travel seamless and hassle-free.

Now, Curb is consistently ranked in the Top 50 for “Travel & Tourism” in the App Store and the Android Marketplace. In addition, we have built the Curb Passenger Information Monitor (PIM) that supports credit card payment and entertaining video content. The Curb Network consists of 35,000 taxis with 90 fleets in 60 US cities. By aligning riders, drivers, and fleets, Curb offers a better overall ride experience.

Curb is based in Alexandria, VA with offices in Chicago, New Jersey, Los Angeles, San Francisco, and Boston. The company is venture-backed by travel management software provider Concur and other investors."
31,Cultivian Sandbox Ventures,"Food, Agriculture, & Land Use","Chicago, IL, USA",1-10,"Cultivian Sandbox is a venture capital firm focused on building next-generation disruptive agriculture and food technology companies capable of generating superior returns. As early investors and active board members, we employ a hands-on approach to building companies and are often directly involved in setting company strategy, recruiting key executives, and raising additional capital. Much more than simply a financial resource, we are capable of delivering tremendous value though active collaboration with our strategic partners and network, which are unparalleled in the agriculture and food industries.

As both experienced operating managers and venture investors we add value to portfolio companies both through our highly skilled team and extensive industry network. Our investment team combines the domain expertise and investment experience from Cultivian Ventures and Sandbox Industries. Our expertise in sourcing, evaluating, closing, managing and ultimately exiting successful equity investments positions us not only to build stronger businesses, but reshape industries."
32,Cuberg,Energy,"Emeryville, CA, USA",11-50,"Cuberg is an energy startup company developing a next-generation battery technology based on a non-flammable liquid electrolyte formulation and a lithium metal anode. These cells deliver a step-change improvement in energy density and safety compared to the best lithium-ion batteries in the world today. The technology is a true drop-in solution that can be manufactured and scaled using existing lithium-ion production equipment. It has already been scaled up and demonstrated successfully in a variety of commercial-format prototypes and is currently being evaluated by marquee customers in the defense, aerospace, and oil and gas industries. This technology will power the portable electronics of the future and bring about mass-market electrification of cars, air taxis, and passenger airliners.

Cuberg has secured over $4M in funding from private investments and grants, including from: Boeing HorizonX Ventures, the National Science Foundation, the Department of Energy, CalSEED, and the U.S. Army. The company spun out of the materials science department at Stanford in 2016 and was initially supported by the TomKat Center for Sustainable Energy at Stanford. Cuberg graduated from the prestigious Cyclotron Road entrepreneurial fellowship program at Lawrence Berkeley National Laboratory in 2018.

We have a close-knit team, an informal and collaborative working style, impactful technology, and exciting commercial progress. Join us as we take Cuberg to the next level!"
33,CSRware,,"Santa Barbara, CA, USA",11-50,"CSRware® is a cloud-based Environmental, Social & Governance (ESG) platform and Sustainability platform. CSRware connects the dots between Corporate professionals and Investors interested in bridging the gap between Environmental, Social & Governance (ESG) and Sustainability data sets and results. Most investors are depending on ESG ratings (visible on Bloomberg, Yahoo Finance and others) to make investment decisions on your company. To address this challenge, CSRware has partnered with the Sustainability Accounting Standards Board (SASB) to work with corporate professionals on how to manage ESG-related information to the C-Suite and the investor community interested in ESG metrics.

The CSRware platform offers modules to manage Environmental Sustainability Management, Responsible Supply Chain and Conflict Minerals Management.

CSRware is changing how Sustainability, the C-Suite and investors view ESG information."
34,Cryoocyte,Materials & Manufacturing,"Boston, MA, USA",1-10,"By improving the selective breeding process of fish without any genetic modification, Cryoocyte helps make aquaculture naturally more efficient, resilient, and disease resistant, as well as reduces feed use by increasing food conversion ratios. New data on egg quality, presence of disease, and parental DNA helps Cryoocyte’s customers make more precise male-female mating decisions and produce naturally healthier offspring."
35,Cruise,Transportation,"San Francisco, CA, USA",1001-5000,"Cruise is building the world’s most advanced self-driving vehicles to safely connect people with the places, things, and experiences they care about. Cruise autonomous vehicles are on the road in San Francisco navigating some of the most challenging and unpredictable driving environments, because the best way to bring self-driving technology to the world is to expose it to the same unique and complex traffic scenarios human drivers face every day."
36,CrossnoKaye,Energy,"Santa Barbara, CA, USA",11-50,http://www.crossnokaye.com
37,CropProphet,"Food, Agriculture, & Land Use","PA, USA",1-10,"CropProphet quantifies the impact of weather on crop yield and production via expert knowledge of weather and climate, crop impacts, and #machinelearning.

We serve hedge funds, commodity trade advisors, grain traders, grain processors, and crop insurance companies."
38,Crop One,"Food, Agriculture, & Land Use","San Mateo, CA, USA",11-50,"Crop One and Emirates Flight Catering (EKFC) have launched a $40 million joint venture to build the world’s largest vertical farming facility in Dubai, United Arab Emirates. Vertical farming produces crops in indoor farms using technology to ensure, pesticide-free, optimal growing conditions with digital and mechanical, rather than chemical or genetic, plant control. The farms can be located anywhere because temperature, humidity, light, water and plant nutrients are all provided in a controlled environment.  Plants are grown in a soil-less growth medium using nutrient solutions that produce fast-growing, healthy plants."
39,Creative Ventures,Capital,"San Francisco, CA, USA",1-10,"We are a macroeconomic, early stage venture capital fund investing into startups that address the impact of aging global populations, increasing labor shortages, and climate change driven resources crises. Our areas of interest currently include: advanced manufacturing, transportation, construction, synthetic biology, computation beyond Moore's law, cybersecurity, aging population, and climate change / energy.

We’re founders, operators, financiers, hackers, and marketers who put our finger on the scale to help you succeed. We work for you."
40,Creative Destruction Lab Energy Stream,Energy,"Toronto, Ontario, Canada",1-10,"Through its planned specialized stream, CDL-Rockies will advance the Canadian energy tech industry through the Haskayne School of Business’s deep connections with the resource-based industries headquartered in western Canada as well as its centers of excellence in energy, entrepreneurship, innovation, and leadership."
41,Craft3,Capital,"Seattle, WA, USA",51-100,"Providing you with flexible, responsible capital is why we're here.

It's how we've strengthened resilience in Oregon and Washington for more than two decades – funding thousands of startups and expanding businesses, nonprofits doing good, and homeowners improving their property."
42,CoverCress,"Food, Agriculture, & Land Use","St. Louis, MO, USA",1-10,"CoverCress has developed a crop from pennycress that covers soil between growing cycles, protecting it from harsh conditions while producing a low-carbon intensity crop for renewable fuel and cooking oil."
43,Covanta,Energy,"Morristown, NJ, USA",1001-5000,"Covanta Holding Corporation (Covanta) is a holding company. The Company is a owner and operator of infrastructure for the conversion of waste to energy ( energy-from-waste or EfW), as well as other waste disposal and renewable energy production businesses. Covanta conduct all of its operations through subsidiaries which are engaged predominantly in the businesses of waste and energy services. The Company has one segment which is Americas and consists of waste and energy services operations primarily in the United States and Canada. The Company owns and holds interests in energy-from-waste facilities in China and Italy. The Company also has investments in subsidiaries engaged in insurance operations in California, primarily in property and casualty insurance. In December 2013, the Company announced that it has acquired two transfer stations in Northern New Jersey from Advanced Disposal."
44,Cottonwood Technology Fund,Capital,"Santa Fe, NM, USA",1-10,"Cottonwood Technology Fund is a venture capital and private equity company that focuses on nanotechnology, robotics, and automotive industry. It focuses on investing in patent-based high-tech and hardware startups Sectors: robotics, photonics, optics, nanotech, sensor tech, telecom, automotive, cleantech, green energy, Medtech, chemicals, and advanced materials.

The company was founded in 2010 and headquartered in New Mexico, United States."
45,Corumat,,"CA, USA",1-10,"Corumat is a materials science company on a mission to eliminate plastic waste and fight climate change. The company uses materials science to micro-engineer bioplastics to make lighter, stronger, cheaper products. It generates a lightweight, strong, insulating patent-pending structure in thermoplastics using a patent-pending machine/process. Corumat's bio-plastics products are lightweight and recyclable made up of bio-polymers with insulating and cushioning benefits, enabling users to use starch-based plastics."
46,Coronal Group,Energy,"Glendale, CA, USA",51-100,"We believe our work is vital and transformative, and our clients—among them some of the world’s most sophisticated energy users—rely on us to achieve amazing results. By embracing this responsibility, we’ve become one of the country’s leading independent power producers focused on utility-scale solar and storage projects.
Our passion, determination, and expertise shine through in the work we do every day. That’s why enterprise customers including utilities, corporations, and the public sector trust in us to deliver clean, affordable, reliable energy.
Because together, we're powering a cleaner grid."
47,Core Systems,Materials & Manufacturing,"Fremont, CA, USA",51-100,"Core Systems is a privately-held semiconductor wafer processing company. The company offers production implantation, specialty implantation, disk refurbishment, silicon coating, and process engineering support services."
48,Core Energy,Energy,"PA, USA",11-50,"Core Energy is an oil & gas company established with the aim of capturing the value potential in and around producing oil and gas fields on the Norwegian Continental Shelf. The company will seek to acquire interests in producing fields and create value through focusing on increased oil and gas recovery, near field exploration and adjacent field developments. The company is backed by the leading oil and gas focused private equity investor HitecVision."
49,Copia,"Food, Agriculture, & Land Use","San Francisco, CA, USA",11-50,"Every day in America, they waste 3X more food than there are mouths to feed. It is not a lack of food that is the issue, but rather an ineffective distribution of that food. Hunger is not a scarcity problem, it's a logistics problem. For the first time ever, they can effectively donate prepared and highly perishable food to those who need it when they need it most.

Copia is a for-profit company that has built technology allowing food donors (e.g., food management companies like corporate cafeterias, universities, hospitals, grocers, caterers etc.) to easily request pickups of their surplus food, have it matched, and safely delivered to non-profits in need. With Copia, partnering businesses can now seamlessly access significant tax savings, dramatically reduce food waste through data and analytics on surplus, and remove CO2 from the atmosphere, all while feeding the neediest in their community.

We have saved nearly 2M pounds of edible food from ending up in the landfills and provided savings of over $14M for the businesses and nonprofits we serve. We operate nationwide and are on our way to feeding over 3 million people with great food that would have otherwise been wasted!"
50,Coord,Transportation,"New York City, NY, USA",11-50,"Coord is a mobility company that creates seamless mobility and self-driving experiences today through deep integrations. The company offers bike-share API, Curbs API, Tolls API, Routing API and etc."
51,Cool Planet,Energy,"CO, Mexico",101-250,"Cool Planet is a technology company that is developing sustainable products to address three of the world’s largest markets: energy, food and water."
52,"Cool It, Earth",Advocacy or Policy,"Brooklyn, NY, USA",11-50,"Cool Earth shares the most effective conservation methods around the world and invests in those with the potential for best outcomes for people and rainforest. 

Innovation is the key to scaling up rapid rainforest protection and the lessons learned in one partnership can often be applied to benefit another. 

We work with communities who want to protect their forest. From setting up an in-country team to working directly with communities and local NGOs to develop their capacity, our partnerships are community-led and adaptable to each location.

By supporting Cool Earth, you’re taking the smartest climate action there is."
53,Cool Effect,,"Greenbrae, CA, USA",1-10,"Cool Effect is an innovative platform that allows individuals, business and organizations to have a direct impact on the fight against climate change by connecting them with the highest-quality carbon offset from projects around the globe. 

Cool Effect provides businesses the tools they need to become carbon neutral with no hidden costs. With three easy steps, Cool Effect offers education and advice on how to minimize carbon emissions then footprint what remains. Cool Effect provides options to purchase carbon offsets from projects that meet custom criteria for mission-driven impact, geographical importance and budget. From there, Cool Effect can help businesses communicate their commitment to carbon neutrality to employees, customers and investors."
54,Cool Climate Network Berkeley,Advocacy or Policy,"Berkeley, CA, USA",101-250,"The climate crisis is pressing and solutions are urgently needed. CoolClimate provides smart decision-making tools and programs to accelerate the transition to a clean energy economy. We develop cutting-edge carbon footprint benchmarking research and combine this with ongoing lessons from behavioral sciences to design tailored climate solutions to different users and populations. CoolClimate tools quickly identify the unique opportunities each individual, business, organization or community holds to reduce greenhouse gas emisions. These tools are incorporated into programs to activate, educate, motivate and empower individuals and organizations to make low-carbon choices. CoolClimate also works with Network Members to design policies and programs that meet local needs and motivate populations to take climate action."
55,Convexa,,"Los Angeles, CA, USA",11-50,"Conversational intelligence that improve outcomes along the patient journey

Convexa is a suite of digital assistants that connect experiences across the patient journey within biopharmaceutical companies. It integrates touch points with patients, Healthcare Professionals, Medical, Sales, Marketing, and Reimbursement teams so that they align towards the goal of improving patient's lives.

Convexa's digital assistants are trained to understand the industry needs and continuously learn in order to influence behavior by proactively delivering actionable insights.

Users can interact with Convexa through a mobile app, website chat, their preferred messaging app, or a smart speaker, having a true omnichannel experience.

In addition, Convexa can connect to multiple data sources and enterprise systems so teams are able to offload tedious tasks and focus on improving outcomes along the patient journey."
56,Convergent Energy + Power,Energy,"New York City, NY, USA",11-50,"Convergent Energy + Power is a technology-neutral energy storage asset developer with experience across a wide range of projects, from commercial and industrial applications to grid-connected systems. The company manages all aspects of the energy storage asset development cycle, including project-specific opportunity identification and economic evaluation, contract and financial structuring, engineering-procurement-construction, as well as operations and maintenance."
57,Constructis,Energy,"SC, USA",11-50,Constructis is a leader in kinetic energy. With the high demand for clean energy Constructis has brought to life a roadway system that allows traffic to create renewable energy. How does it work? The Roadway Energy Sensory System or R.E.S.S are roadway installed power modules capable of capturing vehicle traffic and converting it into usable energy...
58,Constellation Technology Ventures,Capital,"Baltimore, MA, USA",5001-10000,"Constellation Technology Ventures (CTV) is the venture investing organization within Exelon Corporation, the nation’s leading competitive energy provider. CTV invests in companies representing innovative energy technologies and business models, building a portfolio that represents a broad range of development stages and technology types. CTV catalyzes growth for its portfolio companies by providing equity capital, management expertise and connectivity to the broad and diverse Exelon commercial enterprise."
59,Congruent Ventures,Capital,"San Francisco, CA, USA",11-50,"Congruent Ventures is a venture capital firm that seeks to invest in Mobility and Urbanization, Energy Transition, Food and Agriculture, and Industrial and Supply Chain sectors. We look for technology companies that will positively impact our energy and resource consumption. If we see an opportunity to partner with a like-minded team focused on scale across hardware, software, or services, we’re interested."
