title,type,location,people,description
Union Of Concerned Scientists,Advocacy or Policy,"Cambridge, MA, USA",251-500,"Union of Concerned Scientists is a non-profit organization that provides scientific developments related to creating a healthy, safe, and sustainable future. It is also a community of scientists and engineers who develops and implements innovative and practical solutions for issues ranging from global warming to areas such as energy consumption.

Its areas of focus include clean energy, clean vehicles, food and agriculture, global warming, nuclear power, and nuclear weapons.

The union if supported by more than 450,000 people.

Union of Concerned Scientists was founded in 1969 and is based in Cambridge, Massachusetts."
Ubiquitous Energy,Energy,"Redwood City, CA, USA",11-50,"Ubiquitous Energy, the leader in transparent solar technology, is a Silicon Valley company developing the world’s first truly transparent solar technology. Originally spun out from the Massachusetts Institute of Technology, Ubiquitous Energy is implementing its award-winning ClearView Power technology into a wide range of products as an invisible, onboard source of electricity. ClearView Power selectively converts ultraviolet and infrared light into electricity, allowing visible light to pass through. Applied as a thin coating, ClearView Power can turn windows into solar panels without disrupting the view. The coating represents a cost-effective means of enabling everyday surfaces to convert ambient light into useful electricity without impacting their appearance."
UbiQD,Materials & Manufacturing,"Los Alamos, NM, USA",11-50,UbiQD is a cleantech materials company that manufactures low-hazard quantum dots (QDs) and nanocomposites.
Trojan Battery Company,Materials & Manufacturing,"Santa Fe Springs, CA, USA",501-1000,"Founded in 1925 by George Godber and Carl Speer, Trojan Battery Company is the world’s leading manufacturer of deep-cycle batteries. From deep-cycle flooded batteries to deep-cycle AGM and gel batteries, Trojan has shaped the world of deep-cycle battery technology with more than over 90 years of battery manufacturing experience."
Trilliant,Energy,"Redwood City, CA, USA",251-500,"At Trilliant, we’re passionate about empowering you through connectivity. We enable actionable intelligence for our customers and their customers through an open and secure communications platform.

We believe that the next generation smart grid built on a network that allows for the frictionless exchange of data will propel the energy industry to a bright future. Our advanced technologies are designed to work with virtually any system to provide a secure, powerful source of data now and for generations to come.

We are networking experts; our core competency is the network and innovative networking technologies."
Trevi Systems,Energy,"Petaluma, CA, USA",11-50,"Trevi Systems is a progressive energy efficient Forward Osmosis (FO) desalination company.

Trevi System's has developed an innovative and highly efficient Forward Osmosis (FO) process, in order to produce clean water from saltwater, brackish water, or industrial wastewater at a much lower cost and energy use as compared to Reverse Osmosis (RO) technologies. Rather than force water through a membrane as in RO systems, FO relies on osmotic pressure to draw water across the membrane. In the FO system, the “feed” solution or contaminated water is pumped to one side of the semi-permeable membrane. The “draw” solution, which has a high concentration of a specially designed chemical and a low concentration of water relative to the feed solution, is pumped to the other side of the membrane. The water molecules are attracted or pulled through the membrane via osmotic pressure – that is, the water molecules want to migrate from an area of high water concentration to one of low water concentration. Accordingly, water is pulled through the membrane using no energy, leaving the salts or other contaminates on the opposite side.

The benefits of the Trevi FO system are numerous:

•The system requires only a small fraction, of the electrical energy of current RO systems.

•The system uses relatively low cost waste heat or low temperature heat to separate the draw chemical from the clean water.

•The system can be customized to work under specific water conditions such as seawater, brackish water, municipal wastewater, or industrial wastewater.

•When used for desalination, the system can also be customized to produce brine streams of varying salt concentrations depending on the environmental requirements of the location.

•The system operates at ambient pressure, avoiding the extra costs of the high pressure stainless steel plumbing required by RO systems, and the need for expensive high pressure pumps."
TransPower,Energy,"Escondida, CA, USA",11-50,TransPower is a California corporation offering a broad range of energy-related products and services related to advanced clean transportation and energy storage. TransPower’s team of world-class experts in electric power systems and controls is developing a pipeline of exciting new products that will offer significant economic and performance advantages over competing products.
Transphorm,Energy,"Goleta, CA, USA",51-100,"Transphorm is a global semiconductor company that develops gallium nitride (GaN) products for high-voltage power conversion applications. Built on an industry-leading IP portfolio and over 300 years of combined GaN engineering expertise, Transphorm is delivering the highest performance and highest reliability GaN devices and best-in-class applications-driven design support to a growing customer base. Transphorm is creating innovations that move beyond the limitations of silicon to capture 90% of today’s energy losses."
TPI Composites,Materials & Manufacturing,"Scottsdale, AZ, USA",1001-5000,"TPI is the largest U.S.-based independent manufacturer of composite wind blades and has developed a global footprint to serve the growing wind energy market worldwide. In addition, we’re an innovative provider of composites-based clean transportation solutions. We currently have nine advanced wind blade plants in strategic locations in the U.S., China, Mexico and Turkey. We also have facilities in the U.S. and China that manufacture precision molding and assembly systems for wind blades.

Why TPI?
You can grow your career while having mobility throughout our global organization.
You’ll enjoy our collaborative team culture, exciting technology and engaging projects.
More than a stable organization, TPI is a leader in an industry that continues to grow.
Being part of a company in the wind energy industry that helps the environment is satisfying."
Titan Advanced Energy Solutions,Energy,"Salem, MA, USA",11-50,"Titan Advanced Energy Solutions (Titan) develops advanced battery management systems for lithium-ion batteries (LiB).Their patented ultrasound technology provides over 99% SoH/SoC accuracy over the life of the battery. The benefits of this dramatically improved accuracy are significant: at least 20% increase in charge capacity and 125% increase in battery life. The technology also provides unprecedented safety monitoring and control, real-time cell level monitoring and balancing. Suitable for automotive, ESS and consumer markets, Titan’s ultrasound ionView™ technology is priced comparably to traditional solutions, while adding significant benefits to manufacturers, integrators, producers and consumers."
Thread,Materials & Manufacturing,"Pittsburgh, Pennsylvania, USA",11-50,"Thread transforms plastic waste from the developing world into socially and environmentally responsible fabric. Apparel and accessories brands use Thread fabric to instantly improve the social impact, carbon footprint, and value of their own goods.

Thread captures the stories of the people whose lives have been transformed by their fabric-making process, measures impact data, and helps brands share that narrative with customers through their Ground to Good™storytelling platform.

Thread fabric already supports nearly 2,700 income opportunities and collects over 6 million bottles from the neighborhoods of Haiti and Honduras each month."
thirdACT PBC,Buildings,"NY, USA",11-50,"thirdACT PBC is an award-winning real estate finance and technology company that has created a truly unique way to invest in real estate.   The company combines finance, urban-tech, and sustainability to enable investors the ability to own a slice of the nation’s leading cities.
  
thirdACT is women-founded and led. We have always believed financial companies should be a force for good. We recognize this responsibility and are proud to be a Public Benefit Corporation.

A secular change is moving investors towards innovative sustainable finance. thirdACT reflects this trend. Without compromising returns, thirdACT drives resiliency in communities through better buildings."
THG Energy,Energy,"Austin, Texas, USA",11-50,"THG Energy creates cost-savings, conserves resources, and lowers client’s risk through actionable energy analytics, sustainability reporting, and automated energy management. THG’s core team comes from diverse backgrounds in energy marketing, building controls, engineering, and data management. THG’s clients and industry partners benefit from our broad range of expertise, and our ability to take on projects with the customer’s best interest in mind."
ThermaSource,Energy,"New York City, NY, USA",51-100,"ThermaSource LLC provides domestic and international geothermal drilling and completion services through a variety of business units including cementing, on-site rig monitoring, mud logging, engineering project management, and drilling rigs with operating crews."
Therma-Flite,Materials & Manufacturing,"Benitia, CA, USA",251-500,Therma Flite develops engineered industrial products to provide unique eco-friendly solutions to new markets.
Theorem GEO,Energy,"Charlotte, NC, USA",51-100,"At Theorem Geo, we work to make the utility industry more efficient, more profitable and safer through the use of technology. We strive to find innovate solutions to the nuanced and complex problems of the industry.

Serving the utility industry for over a decade, Theorem Geo deploys proprietary databases to solve challenging problems for businesses, utilities and governments. Theorem Geo’s data-driven analytics help the industry automate and streamline regulatory compliance, operations monitoring, emergency response and other business challenges.

A multi-disciplined company, Theorem Geo specializes in proprietary software development shoreline management, storm response, predictive outage modeling, meteorological impact analysis, vegetation management transmission & distribution and unmanned aerial systems (drones)."
The Pill Club,Advocacy or Policy,"Redwood City, CA, USA",101-250,"The Pill Club is the first all-in-one healthcare service delivering birth control across the US. Backed by Stanford physicians, The Pill Club is a telemed service focused on delivering birth control, emergency contraceptives, and free gifts to promote a healthy lifestyle. With the full support of incubators such as StartX and 500 Startups, The Pill Club is driven to ensure a personalized and connected healthcare experience and to empower women to take ownership of their health and bodies, while providing access and personal freedom. The Pill Club is based in San Francisco Bay Area, delivers to all 50 states and The Pill Club Medical Group, Inc. offers a prescribing service to 34 states, as well as Washington D.C.: AL, AZ, CA, CO, CT, FL, GA, HI, IA, IL, IN, KS, KY, MA, MI, MO, MT, NC, NE, NJ, NV, NY, OH, PA, SC, UT, TN, TX, VA, VT, WA, WI, WY."
The Idea Village ENERGYx,Advocacy or Policy,"New Orleans, Louisiana, USA",11-50,"The Idea Village is an independent 501(c)3 non-profit organization with a mission to identify, support and retain entrepreneurial talent in New Orleans. The Idea Village has solidified its position as a leading driver of entrepreneurship. Over the last 12 years, the organization has provided direct support to over 3,000 New Orleans entrepreneurs by engaging over 2,400 professionals to allocate 72,295 consulting hours and $3.45 million in seed capital. Collectively, this portfolio generates over $100 million in annual revenue and has created well over 2,000 jobs for the New Orleans community."
The Engine,Advocacy or Policy,"San Francisco, CA, USA",11-50,"Engine is a research foundation and advocacy organization that supports the growth of technology entrepreneurship and startups. Its offerings include economic research, policy analysis, and political campaigns on local and national issues.

Engine was founded in 2011 and is based in San Francisco, California with presence in New York."
The Energy Detective (TED),Energy,"Charleston, SC, USA",11-50,"Energy, Inc. was incorporated in 2001 and released its flagship product, The Energy Detective (TED) in 2005.

Energy, Inc. has since partnered with Google and 3M. Energy, Inc.'s primary product is a hardware device called The Energy Detective (TED). This consumer device monitors electrical energy consumption, generally in a residential setting with 120V/240V power. This information can be displayed locally and/or logged to various Internet systems, depending on which exact model is in use. The original 1000-series hardware can only monitor data locally, where the 5000-series hardware adds Internet abilities."
Tersus Solutions,Advocacy or Policy,"Denver, CO, USA",11-50,"We’re here to challenge the notion that laundry is boring. We’re asking you to think differently about your clothes, who makes them, and how they are cared for. We’re asking you to join us in making activism as commonplace an act as loading a washing machine. We’re here to show you that clean doesn’t have to be difficult to accomplish.

We are perfecting and deploying environmental laundry solutions for the apparel industry. We believe this is the key to unlocking a truly circular economy that extends the life of resources and maximizes value in supply chains.

Goals:
To deploy liquid carbon dioxide with brand apparel companies to change the way laundry is done.

01. TRUST:
–
Utilize liquid carbon dioxide to increase confidence in and demand for renewed and recycled apparel.

02. REGENERATIVE :
–
Deploy liquid carbon dioxide in support of lofty circular economy goals that aim to build more resilient economies.

03. SERVICE:
–
To support brands in delivery the best service in retail, renewal, and garment/gear maintenance.

04. IMPACT:
–
To deliver thoughtful and measurable impact to the financial, people, and environmental goals of our partners."
terabase,Energy,"Berkeley, CA, USA",11-50,"At Terabase, we believe that digitalization will drive

the next wave of project innovation and cost reduction.

 

We apply digital tools and AI across the project lifecycle to offer a range of solutions to our customers:

​

The Terabase development platform: A powerful web-based tool to accelerate development decision-making from siting through to design optimization"
Tendril,Energy,"Boulder, CO, USA",51-100,"Tendril enables utilities to drive customer engagement via a rich and tailored experience for the home energy consumer. Energy and service providers rely on Tendril’s customizable software solutions to engage consumers to meet efficiency goals and improve customer service operations. All solutions are powered by an open, cloud-based, secure, and scalable platform that seamlessly supports numerous other utility-grade applications."
TechCrunch,Media & Journalism,"San Francisco, CA, USA",101-250,"TechCrunch, founded on June 11, 2005, is a blog dedicated to obsessively profiling and reviewing new Internet products and companies. In addition to covering new companies, TechCrunch profiles existing companies that are making an impact (commercial and/or cultural) on the new web space."
TAS Energy,Energy,"Houston, TX, USA",101-250,"About Us:
TAS is a leading global company focused on highly efficient, factory‐built, packaged modular solutions."
TAE Technologies,Energy,"Foothill Ranch, CA, USA",101-250,"TAE Technologies is leveraging proprietary science and engineering to tackle the world’s biggest challenges. Their core mission is to create a new source of clean energy – one that’s powered by nature’s own processes and produces no harmful byproducts. Their groundbreaking work has led to industry-wide advances in accelerator and plasma physics, and acted as a catalyst for adjacent innovations based on their results. With 20 years of focused research, TAE Technologies is on a purposeful path to commercial fusion energy and pioneering sustainable solutions for a better tomorrow."
Clean Power Alliance,Energy,"Los Angeles, CA, USA",11-50,"Clean Power Alliance believes in a clean energy future that is local, where communities are empowered and customers are given a choice about the source of their energy. We are Southern California’s locally operated electricity provider across Los Angeles and Ventura counties, offering clean renewable energy at competitive rates.

Clean Power Alliance serves approximately three million customers and one million customer accounts across 32 communities throughout Southern California including unincorporated Los Angeles County, unincorporated Ventura County and the cities of: Agoura Hills, Alhambra, Arcadia, Beverly Hills, Calabasas, Camarillo, Claremont, Carson, Culver City, Downey, Hawaiian Gardens, Hawthorne, Malibu, Manhattan Beach, Moorpark, Ojai, Oxnard, Paramount, Redondo Beach, Rolling Hills Estates, Santa Monica, Sierra Madre, Simi Valley, South Pasadena, Temple City, Thousand Oaks, Ventura, West Hollywood, Westlake Village and Whittier.

Clean Power Alliance purchases clean power and Southern California Edison (SCE) delivers it. SCE will continue to deliver power to your home or business, send one bill, and be responsible for resolving any issues with your electricity service.

Each member agency selected a default rate option to begin service. Click here to see your city's default. Although you will be automatically enrolled based on your community's choice, you will have the ability to change your rate at any time. No matter what offering you choose, you will soon enjoy the shared benefits of Clean Power Alliance including local control, stable rates, and higher renewable content.

The best part is: the choice is yours! For the first time, you now have a choice when it comes to your energy. Clean Power Alliance currently offers three rate options designed to suit the diverse needs of our communities. You will have the opportunity to choose the percentage of renewable content that suits your business or family best. No matter what offering you choose, our communities will enjoy the shared benefits of Clean Power Alliance."
Sunrun,Energy,"San Francisco, CA, USA",1001-5000,"Sunrun is a United States-based provider of residential solar electricity and solar power services for homeowners. It invented a model known as solar service allowing homeowners to pay for the power, not the panels. It owns, maintains, and monitors the system while homeowners pay for the electricity it produces at a low, locked-in rate, saving them money over time.
Sunrun operates in twelve states that include Arizona, California, Colorado, Hawaii, Massachusetts, Maryland, New Jersey, New York, Nevada, Pennsylvania, Oregon, and Connecticut. Each business day it puts 2 million U.S. dollars’ worth of solar onto people’s roofs and facilitates one solar installation every 10 minutes. The company’s network of over 30 solar installers employs more than 3,000 people.
Sunrun was founded in 2007 by Edward Fenster, Lynn Jurich, and Nat Kreamer. It is headquartered in San Francisco, C.A."
QuantumScape,Energy,"San Jose, CA, USA",251-500,"QuantumScape is a leader in the development of next generation solid-state lithium-metal batteries for use in electric vehicles. The company’s mission is to revolutionize energy storage to enable a sustainable future.

Join our team
Do you want to help build one of the most critical parts of the future energy economy? Come join us on our mission as we revolutionize energy storage to enable a sustainable future."
Renovate America,Buildings,"San Diego, CA, USA",101-250,"Renovate America is leading the way in making homes and communities more energy and water efficient.

We’re making a difference every day:
Helping to save enough electricity to power the city of San Francisco for two years.

Enabling water savings that could provide enough for everyone in the world to drink for two full days.

Creating over 27,982 local jobs by increasing demand for home improvements.*"
Renmatix,Energy,"Kennesaw, GA, USA",51-100,"Enabling the green revolution by providing the bridge to renewable materials.

Can you imagine a world where we’re no longer reliant on fossil fuels to enjoy the products & processes that power our lives?
We can. And we do. Every day.
Renmatix, at its core, is a purpose-driven company.  We are on a mission to produce and proliferate natural, sustainable products that are comprehensively people, animal, and environmentally friendly. We spent years in research and development and invested millions of dollars towards this end. And, we are proud to have achieved incredible breakthroughs in water-based chemistry, which provide effective, affordable, alternatives to petroleum-based materials.

Our award-winning Plantrose® Process is a first-in-kind technology that uses just water and plants to produce a range of non-food sugars and new lignins that are cheaper, cleaner and greener than other plant-derived equivalents. These plant sugars and lignins are used as ingredients with vast utility in everything from foods to fuels to industrial applications. Ours are the bio building blocks needed to easily replace a vast number of unsustainable, harmful petro-derived materials and ingredients.

In our initial stages, we focused on driving innovation within the global biochemical and biofuel markets. Because of our novel and promising platform, we attracted some of the world's most prestigious investors and coveted strategic customers like BASF & Total. We chose to license our technology to downstream producers in an aim to make this important innovation more broadly available, to achieve the biggest impact. Through this endeavor, we are honored to have become a recognized pioneer in the emerging biobased economy.

Now, we are evolving. Our scientists have developed a fresh generation of plant-based innovations, powering an exciting new portfolio of Plantrose products.

These transformative new materials and water-extracted ingredients reach additional markets including food, personal care and beauty, and a growing range of industrial applications.This decision was driven by our ongoing commitment to harness truly green chemistry, to create a more sustainable world, and to continue advancing the biobased economy in a meaningful way.

Ultimately, through market traction in new consumer products categories, we aim to raise the profile of our clean manufacturing breakthroughs, and accelerate a path to the construction of a network of biorefineries (commercial scale manufacturing facilities that produce green Plantrose Products and ingredients, derived from renewable non-food plant sources).‎ We believe we are on the brink of a plant-based revolution, and this next phase of our work is critical to that transition."
Renewlogy,Energy,"Salt Lake City, UT, USA",11-50,"Renewlogy was founded at MIT ini 2011, with the vision to be a technology leader in developing solutions to landfill-bound waste. Through our proprietary chemical recycling process, which allows us to reverse plastic back into its basic molecular structure, we convert non-recycled plastic waste into new valuable products such as high-value fuels.

Renewlogy’s purpose is to develop technologies and processes to address our core mission of preventing landfill-bound waste. We envision a world in which there is no waste, as each item is renewed in some way. By renewing each waste stream and giving it some value, it ensures that waste will not only stay out of landfills, but out of our precious environment too."
Patriot Renewable Fuels,Energy,"Annawan, IL, USA",51-100,"Established in January 2005, Patriot Renewable Fuels LLC is organized in order to build and operate a world class ethanol plant strategically located in the heart of Illinois corn production."
Renewable Energy Group,Energy,"Ames, IA, USA",501-1000,"Renewable Energy Group, Inc. (Nasdaq: REGI) is a leading provider of cleaner, lower carbon intensity products and services. We are an international producer of biomass-based diesel, a developer of renewable chemicals and North America’s largest producer of advanced biofuel. REG utilizes an integrated procurement, distribution, and logistics network to convert natural fats, oils, greases and sugars into lower carbon intensity products. With 14 active biorefineries, a feedstock processing facility, research and development capabilities and a diverse and growing intellectual property portfolio, REG is committed to being a long-term leader in bio-based fuel and chemicals.

For more than a decade, REG has been a reliable supplier of advanced biofuels which meet or exceed ASTM quality specifications. REG sells REG-9000 biomass-based diesel to distributors so consumers can have cleaner-burning fuels that help diversify the energy complex and increase energy security."
Remix,Transportation,"San Francisco, CA, USA",51-100,"Remix is the platform for designing and managing your city’s transportation future. Trusted by 4,000 planners in 300+ cities on three continents, Remix helps cities understand how streets, public transit, and private mobility work together."
Redox Power Systems,Energy,"College Park, Maryland, USA",11-50,"Redox Power Systems designs and manufactures fuel cell products that provide clean, primary power at a price point that competes with grid power. Redox is disrupting the way energy is delivered by producing a product with two key advantages over current products on the market. 1) Lower Cost: Redox’s technological innovations enable it to produce 5x the power for any given form factor. This has a significant impact on cost and enables Redox to generate power at a price point that competes with traditional grid power. 2) Extreme Load-following: In addition to these cost saving innovations, Redox’s technology is able to provide sub-millisecond load following – a mission critical innovation for our primary market, data centers."
Red Wave Energy,Energy,"Boulder, CO, USA",11-50,"RedWave Energy, Inc. is a venture capital financed cleantech firm founded in January 2011. RedWave is currently in the first phase of developing unique technology to generate renewable energy from the previously untapped infrared (IR) and near IR spectrum. Initial development is focused on energy capture from relatively low quality waste heat. Subsequent phases of development will lead to harvesting electricity in the visible range. Initial phases of development at the THz range will also enable powerful explosive detection and high speed communications capabilities. This development is made possible by exclusively licensed nano antenna technology from Idaho National Labs and associated high speed diode technology from the University of Colorado. MicroContinuum, a sophisticated technology development company has been retained to enable the fabrication of nano scale antennas and terahertz electronics for energy capture and THz wave detection."
Recycle Bank,Media & Journalism,"New York City, NY, USA",11-50,"Since 2004, Recyclebank has been setting our sights on creating waste-free communities. We reward members like you for reducing waste and learning how to reduce waste — so together, we can all make the world a cleaner, greener place."
Recurve,Buildings,"San Francisco, CA, USA",51-100,Recurve makes software for contractors who audit homes to increase energy efficiency and perform remodeling / construction services.
Recurrent Energy,Energy,"San Francisco, NY, NYC, CA, USA",51-100,"Recurrent Energy is a leading utility-scale solar and energy storage project developer, delivering competitive, clean electricity to large energy buyers. Based in the U.S., Recurrent Energy is a wholly owned subsidiary of Canadian Solar Inc. and functions as Canadian Solar’s U.S. project development arm. Recurrent Energy has approximately 7 GW of solar and storage projects in development in the U.S."
Rebellion Photonics,Materials & Manufacturing,"Houston, Texas, USA",11-50,"Rebellion Photonics is commercializing the unique 'snap-shot' hyperspectral imaging technology. Our main product is the Gas Cloud Imaging camera for oil and gas safety. The company was founded in 2009 and is headquartered in Houston, TX."
Raven Window,Materials & Manufacturing,"Denver, CO, USA",11-50,"Raven® is one of the most trusted brand names throughout Australia and the Asia Pacific. Raven Products Pty Ltd is an Australian company that designs and produces world leading door seals, window seals, rubber weather strip, nylon brush strip, fridge seals, window cleaning squeegees, aluminium extension poles, DTAC tactile ground surface indicators, stair edge, floor edging, threshold ramps and much more!

Established in 1950, Raven Products is an Australian family company that invents, designs and distributes its leading range around the world. Raven® is one of the most trusted brands in Australia and the Asia Pacific region. Raven design and produce world leading door seals, window seals, rubber weather strip, nylon brush strip, fridge seals, window cleaning squeegees, aluminium extension poles, DTAC tactile ground surface indicators, stair edge, floor edging, threshold ramps and much more!"
Qnovo,Materials & Manufacturing,"Newark, CA, USA",11-50,"Qnovo is reinventing one of the most basic foundations of energy storage and mobility – the battery and how it is charged.  Qnovo develops innovative and patented adaptive charging algorithms and analytics that improve the lifetime of the battery performance with enhanced safety.  By augmenting battery chemistry with software, Qnovo enables batteries to charge faster, with more daily use and longer lifespan.  Qnovo’s technology has shipped in more than 40 million smartphones. We are growing and looking for exceptional technical talent to join our team."
Qnergy,Energy,"Ogden, UT, USA",11-50,"Qnergy was established in 2009 by Ricor Cryogenic and Vacuum, a world leader in the field of miniature Stirling cryogenic coolers. Qnergy’s Stirling engines are based on Ricor's proven technology, IP, and know-how (developed and employed over the past 40 years).

Qnergy developed a unique proven technology that perfectly addresses and suits the utility industry's challenges. Based on the original Stirling thermodynamic cycle, the Qnergy power-generation solution presents an advanced compilation of a number of sophisticated technologies, many originally developed for the space and defense industries.

The Company develops and manufactures highly efficient, reliable and cost-effective Stirling engines for various applications: micro-combined heat and power (CHP), solar power generation and solar CHP, liquefied natural gas, and more.

Qnergy’s technology will enable residential and business customers to generate power and hot water on-site with total efficiency of more than 90%.

Qnergy is located in northern Israel."
Purpose Energy,Energy,"Windham, NH, USA",11-50,"Today, PurposeEnergy is revolutionizing the way food and beverage production environments of all sizes process, utilize, and reclaim organic waste.  Our waste stream solutions feature our innovative Tribrid-Bioreactor™ – the highest efficiency online pharmacy benefits methane conversion digester on the planet. Wherever you find a Tribrid-Bioreactor™, you’ll also find production and plant managers who have increased production uptime and volumes, eliminated trucking and off-site disposal costs, reduced energy and water bills, and lowered their carbon footprint.  That’s the real power, and purpose, of the PurposeEnergy solution."
Prospect Silicon Valley Vanguard,Buildings,"San Jose, CA, USA",11-50,"ProspectSV is a nonprofit urbantech innovation hub focused on solutions for sustainable, smart cities. We bring government, corporations and academia together with startups, product teams and expert staff to accelerate innovations in transportation, energy and the built environment.

ProspectSV provides a full spectrum of commercialization support including market and technical insight, connections to partners and investors, pilot opportunities as well as access to a $12 million, 23,000 sq. ft. Technology Demonstration Center with working and industrial space, lab facilities and specialized equipment.

In partnership with state and local governments, ProspectSV demonstrates and scales leading edge solutions, resulting in the avoidance of nearly 150 million lbs. of CO2 in the coming decade. With projects in over 50 cities, leveraging over $90 million in funding and financing, and with more than 25 corporate sponsors, ProspectSV is the only organization with the ability to both prove and apply solutions for next generation cities."
Propel Fuels,Energy,"Sacramento, CA, USA",11-50,"Fueling change means empowering drivers with a way to make clean, American-made fuels a part of our daily lives. The American consumer has waited too long for a better fueling option, one that positively affects our economy, and our environment.

Propel builds, owns and operates a growing network of clean fueling points. Our goal is to provide you with easy access to high quality clean fuels, and quantify the positive impact of your fuel choice. Propel CleanDrive shows the difference you make when you choose renewable fuels instead of petroleum. And weâ€:tm:re building clean fuel points both at traditional gas stations, and in new locations convenient to you.

Together, we can change what we put in our tanks, protect our environment, and break free from imported oil."
